_id,arabic_name,description,type,latitude,longitude,directorate,directorate_latitude,directorate_longitude,icon,tags,start_time,end_time,phone_no
138,"بنگه‌هێ باله‌ته‌ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Balta,branch,36.7896,43.2355,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
139,"بنگه‌هێ خوركێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Xurke,branch,36.7945,43.1858,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
140,"بنگه‌هێ مرێبا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Mriba,branch,36.7615,43.5207,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
141,"بنگه‌هێ یەلدیشا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Yaldisha,branch,36.8246,43.3345,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
142,"بنگه‌هێ لالش یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Lalish,branch,36.7712,43.3047,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
143,"بنگه‌هێ زیناڤا میری یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","Zinava mire",branch,36.6397,43.4768,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
144,"بنگه‌هێ ركاڤا یێ چاڤدێریا ساخله‌میێ بو خێزانێن شه‌هیدا",Rkafa,main,36.8116,43.3531,Duhok,36.942876,42.941769,facility_main.png,Main,"8:00 AM","1:30 PM",NULL
145,"بنگه‌هێ خه‌نس یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Xnes,branch,36.7507,43.3767,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
146,"بنگه‌هێ كانیا باسكا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","Kani yaska",branch,36.9222,43.2317,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
147,"بنگه‌هێ درینێ یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Drene,branch,36.6888,43.527,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
148,"بنگه‌هێ دوغاتا یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Duxata,branch,36.6458,43.1167,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
149,"بنگه‌هێ بوزان یێ چاڤدیریا ساخله‌میا ده‌ستپێكی",Buzan,branch,36.7352,43.1301,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
150,"بنگه‌هێ كانی گول یێ چاڤدیریا ساخله‌میا ده‌ستپێكی","Kani gul",branch,36.7461,43.5953,Duhok,36.942876,42.941769,facility_branch.png,branch,"8:00 AM","1:30 PM",NULL
